code_insee_com,nom_com,niveau_vie_median_2021,nb_logements_2022,Pourcentage_appartements_2022,pourcentage_locataires_dans_résidence_principale_2022,evolution_annuelle_moy_de_la_population_entre_2017_et_ 2023_en_pourcentage,population_municipale_2023,Taux_activite_tranche_15-64_en_2022
1001,L'Abergement-Clémenciat,25820,379,2.4,13.8,1.73,860,82.1
1002,L'Abergement-de-Varey,24480,175,1.1,9.9,1.43,270,80.1
1004,Ambérieu-en-Bugey,21660,7973,54.1,53.1,2.14,15934,76.7
1005,Ambérieux-en-Dombes,24610,921,26.5,25.2,2.03,1906,81.3
1006,Ambléon,24210,71,4.2,26.3,0.59,115,70.8
1007,Ambronay,24860,1302,15.2,26.1,0.69,2841,80.2
1008,Ambutrix,26300,366,9.1,24.3,0.18,760,79.7
1009,Andert-et-Condon,24810,199,9.2,12.6,0.89,348,81.2
1010,Anglefort,24700,616,9.4,18.7,0.86,1174,76.4
1011,Apremont,24530,201,15.5,22.8,1.66,415,82.1
1012,Aranc,24270,220,7,13.7,0.25,331,80.4
1013,Arandas,22180,121,1.7,9.6,-0.71,138,77.9
1014,Arbent,22410,1532,33.7,35,0.91,3555,76.4
1015,Arboys en Bugey,23800,424,2.4,15.1,1.64,710,82.2
1016,Arbigny,23080,220,0.9,8.6,-0.04,462,84.1
1017,Argis,20790,324,15.1,11.5,-0.89,419,72.4
1019,Armix,N/A - secret statistique,28,3.5,15.4,-1.87,25,86.7
1021,Ars-sur-Formans,26430,625,19.8,23,1.37,1528,78.9
1022,Artemare,22000,740,28.4,34.8,-1.37,1139,77.3
1023,Asnières-sur-Saône,N/A - secret statistique,46,0,14.7,2.82,78,75.5
1024,Attignat,24460,1537,19.7,29,1,3409,83.1
1025,Bâgé-Dommartin,24880,1759,4.5,15.7,-0.17,4050,80
1026,Bâgé-le-Châtel,22860,475,31.3,40.8,0.85,971,83.5
1027,Balan,25770,803,19,25.6,2.3,3077,78.4
1028,Baneins,25520,272,4.9,13.9,0.52,621,81.5
1029,Beaupont,21350,332,6.2,24.5,1.06,734,76.9
1030,Beauregard,24240,463,39.9,47.3,0.12,872,80.1
1031,Bellignat,20550,1874,62.7,57.7,-0.46,3525,69.5
1032,Béligneux,23060,1360,27.7,41.5,0.99,3535,80.5
1033,Valserhône,23780,8502,63.6,50.1,0.29,16712,77.1
1034,Belley,21180,5257,55.4,50,0.52,9388,73.9
1035,Belleydoux,26160,235,8.7,15.2,-0.43,306,80.1
1036,Valromey-sur-Séran,23820,983,4.2,16.9,0.5,1351,76.6
1037,Bénonces,21770,188,4.3,20.5,0.71,311,78.5
1038,Bény,24250,369,10,18,0.46,777,80.9
1040,Béréziat,23440,223,11.2,10.9,-0.72,475,82.3
1041,Bettant,25150,402,11.6,23.2,0.57,774,82
1042,Bey,25520,141,2.8,14.1,0.41,286,82.6
1043,Beynost,28730,2158,19.9,21.4,2.01,5198,78.5
