nom_com;nom_poll;mois;moyenne_pollution
LATTES;O3;1;45.14
LATTES;O3;2;49.79
LATTES;O3;3;69.29
LATTES;O3;4;72.32
LATTES;O3;5;79.71
LATTES;O3;6;84.26
LATTES;O3;7;81.24
LATTES;O3;8;81.99
LATTES;O3;9;58.82
LATTES;O3;10;54.74
LATTES;O3;11;50.52
LATTES;O3;12;38.71
MONTPELLIER;O3;1;39.07
MONTPELLIER;O3;2;43.09
MONTPELLIER;O3;3;62.08
MONTPELLIER;O3;4;66.54
MONTPELLIER;O3;5;71.73
MONTPELLIER;O3;6;84.35
MONTPELLIER;O3;7;80.42
MONTPELLIER;O3;8;79.94
MONTPELLIER;O3;9;57.29
MONTPELLIER;O3;10;53.54
MONTPELLIER;O3;11;48.33
MONTPELLIER;O3;12;36.87
